Expert_ID,Hypothesis_A_ID,Hypothesis_B_ID,Dimension,human_result,source_human,human_outcome,pair_type,llm_result,source_llm,llm_outcome,pair_type_llm,_merge,model,exact_match,both_tie,human_tie_llm_not,llm_tie_human_not
E01,HUM_18,LLM_04,Novelty,LLM_04,human,B_wins,HUM-vs-LLM,LLM_04,claude,B_wins,HUM-vs-LLM,both,claude,True,False,False,False
E01,HUM_18,LLM_04,Significance,Tie,human,Tie,HUM-vs-LLM,LLM_04,claude,B_wins,HUM-vs-LLM,both,claude,False,False,True,False
E01,HUM_18,LLM_04,Testability,HUM_18,human,A_wins,HUM-vs-LLM,LLM_04,claude,B_wins,HUM-vs-LLM,both,claude,False,False,False,False
E01,HUM_19,LLM_17,Novelty,HUM_19,human,A_wins,HUM-vs-LLM,LLM_17,claude,B_wins,HUM-vs-LLM,both,claude,False,False,False,False
E01,HUM_19,LLM_17,Significance,HUM_19,human,A_wins,HUM-vs-LLM,HUM_19,claude,A_wins,HUM-vs-LLM,both,claude,True,False,False,False
E01,HUM_19,LLM_17,Testability,HUM_19,human,A_wins,HUM-vs-LLM,HUM_19,claude,A_wins,HUM-vs-LLM,both,claude,True,False,False,False
E01,HUM_20,LLM_05,Novelty,Tie,human,Tie,HUM-vs-LLM,LLM_05,claude,B_wins,HUM-vs-LLM,both,claude,False,False,True,False
E01,HUM_20,LLM_05,Significance,HUM_20,human,A_wins,HUM-vs-LLM,LLM_05,claude,B_wins,HUM-vs-LLM,both,claude,False,False,False,False
E01,HUM_20,LLM_05,Testability,Tie,human,Tie,HUM-vs-LLM,LLM_05,claude,B_wins,HUM-vs-LLM,both,claude,False,False,True,False
E01,HUM_22,LLM_41,Novelty,LLM_41,human,B_wins,HUM-vs-LLM,LLM_41,claude,B_wins,HUM-vs-LLM,both,claude,True,False,False,False
E01,HUM_22,LLM_41,Significance,HUM_22,human,A_wins,HUM-vs-LLM,LLM_41,claude,B_wins,HUM-vs-LLM,both,claude,False,False,False,False
E01,HUM_22,LLM_41,Testability,Tie,human,Tie,HUM-vs-LLM,HUM_22,claude,A_wins,HUM-vs-LLM,both,claude,False,False,True,False
E01,HUM_23,LLM_08,Novelty,LLM_08,human,B_wins,HUM-vs-LLM,LLM_08,claude,B_wins,HUM-vs-LLM,both,claude,True,False,False,False
E01,HUM_23,LLM_08,Significance,LLM_08,human,B_wins,HUM-vs-LLM,HUM_23,claude,A_wins,HUM-vs-LLM,both,claude,False,False,False,False
E01,HUM_23,LLM_08,Testability,HUM_23,human,A_wins,HUM-vs-LLM,HUM_23,claude,A_wins,HUM-vs-LLM,both,claude,True,False,False,False
E01,HUM_26,LLM_38,Novelty,HUM_26,human,A_wins,HUM-vs-LLM,LLM_38,claude,B_wins,HUM-vs-LLM,both,claude,False,False,False,False
E01,HUM_26,LLM_38,Significance,Tie,human,Tie,HUM-vs-LLM,LLM_38,claude,B_wins,HUM-vs-LLM,both,claude,False,False,True,False
E01,HUM_26,LLM_38,Testability,LLM_38,human,B_wins,HUM-vs-LLM,HUM_26,claude,A_wins,HUM-vs-LLM,both,claude,False,False,False,False
E01,HUM_28,LLM_30,Novelty,LLM_30,human,B_wins,HUM-vs-LLM,LLM_30,claude,B_wins,HUM-vs-LLM,both,claude,True,False,False,False
E01,HUM_28,LLM_30,Significance,LLM_30,human,B_wins,HUM-vs-LLM,HUM_28,claude,A_wins,HUM-vs-LLM,both,claude,False,False,False,False
E01,HUM_28,LLM_30,Testability,LLM_30,human,B_wins,HUM-vs-LLM,HUM_28,claude,A_wins,HUM-vs-LLM,both,claude,False,False,False,False
E01,HUM_29,HUM_34,Novelty,Tie,human,Tie,HUM-vs-HUM,HUM_34,claude,B_wins,HUM-vs-HUM,both,claude,False,False,True,False
E01,HUM_29,HUM_34,Significance,HUM_34,human,B_wins,HUM-vs-HUM,HUM_34,claude,B_wins,HUM-vs-HUM,both,claude,True,False,False,False
E01,HUM_29,HUM_34,Testability,HUM_29,human,A_wins,HUM-vs-HUM,HUM_34,claude,B_wins,HUM-vs-HUM,both,claude,False,False,False,False
E01,HUM_33,HUM_42,Novelty,HUM_33,human,A_wins,HUM-vs-HUM,HUM_33,claude,A_wins,HUM-vs-HUM,both,claude,True,False,False,False
E01,HUM_33,HUM_42,Significance,Tie,human,Tie,HUM-vs-HUM,HUM_33,claude,A_wins,HUM-vs-HUM,both,claude,False,False,True,False
E01,HUM_33,HUM_42,Testability,Tie,human,Tie,HUM-vs-HUM,HUM_42,claude,B_wins,HUM-vs-HUM,both,claude,False,False,True,False
E01,HUM_34,LLM_12,Novelty,HUM_34,human,A_wins,HUM-vs-LLM,LLM_12,claude,B_wins,HUM-vs-LLM,both,claude,False,False,False,False
E01,HUM_34,LLM_12,Significance,LLM_12,human,B_wins,HUM-vs-LLM,LLM_12,claude,B_wins,HUM-vs-LLM,both,claude,True,False,False,False
E01,HUM_34,LLM_12,Testability,Tie,human,Tie,HUM-vs-LLM,HUM_34,claude,A_wins,HUM-vs-LLM,both,claude,False,False,True,False
E01,HUM_36,LLM_07,Novelty,HUM_36,human,A_wins,HUM-vs-LLM,LLM_07,claude,B_wins,HUM-vs-LLM,both,claude,False,False,False,False
E01,HUM_36,LLM_07,Significance,Tie,human,Tie,HUM-vs-LLM,LLM_07,claude,B_wins,HUM-vs-LLM,both,claude,False,False,True,False
E01,HUM_36,LLM_07,Testability,Tie,human,Tie,HUM-vs-LLM,HUM_36,claude,A_wins,HUM-vs-LLM,both,claude,False,False,True,False
E01,HUM_37,LLM_26,Novelty,Tie,human,Tie,HUM-vs-LLM,LLM_26,claude,B_wins,HUM-vs-LLM,both,claude,False,False,True,False
E01,HUM_37,LLM_26,Significance,Tie,human,Tie,HUM-vs-LLM,LLM_26,claude,B_wins,HUM-vs-LLM,both,claude,False,False,True,False
E01,HUM_37,LLM_26,Testability,HUM_37,human,A_wins,HUM-vs-LLM,HUM_37,claude,A_wins,HUM-vs-LLM,both,claude,True,False,False,False
E01,HUM_39,LLM_42,Novelty,HUM_39,human,A_wins,HUM-vs-LLM,LLM_42,claude,B_wins,HUM-vs-LLM,both,claude,False,False,False,False
E01,HUM_39,LLM_42,Significance,Tie,human,Tie,HUM-vs-LLM,LLM_42,claude,B_wins,HUM-vs-LLM,both,claude,False,False,True,False
E01,HUM_39,LLM_42,Testability,LLM_42,human,B_wins,HUM-vs-LLM,HUM_39,claude,A_wins,HUM-vs-LLM,both,claude,False,False,False,False
E01,HUM_42,LLM_19,Novelty,Tie,human,Tie,HUM-vs-LLM,LLM_19,claude,B_wins,HUM-vs-LLM,both,claude,False,False,True,False
E01,HUM_42,LLM_19,Significance,Tie,human,Tie,HUM-vs-LLM,LLM_19,claude,B_wins,HUM-vs-LLM,both,claude,False,False,True,False
E01,HUM_42,LLM_19,Testability,Tie,human,Tie,HUM-vs-LLM,HUM_42,claude,A_wins,HUM-vs-LLM,both,claude,False,False,True,False
E01,HUM_44,LLM_40,Novelty,LLM_40,human,B_wins,HUM-vs-LLM,LLM_40,claude,B_wins,HUM-vs-LLM,both,claude,True,False,False,False
E01,HUM_44,LLM_40,Significance,Tie,human,Tie,HUM-vs-LLM,LLM_40,claude,B_wins,HUM-vs-LLM,both,claude,False,False,True,False
E01,HUM_44,LLM_40,Testability,HUM_44,human,A_wins,HUM-vs-LLM,HUM_44,claude,A_wins,HUM-vs-LLM,both,claude,True,False,False,False
E01,HUM_45,LLM_29,Novelty,Tie,human,Tie,HUM-vs-LLM,LLM_29,claude,B_wins,HUM-vs-LLM,both,claude,False,False,True,False
E01,HUM_45,LLM_29,Significance,Tie,human,Tie,HUM-vs-LLM,LLM_29,claude,B_wins,HUM-vs-LLM,both,claude,False,False,True,False
E01,HUM_45,LLM_29,Testability,Tie,human,Tie,HUM-vs-LLM,HUM_45,claude,A_wins,HUM-vs-LLM,both,claude,False,False,True,False
E01,LLM_02,HUM_20,Novelty,LLM_02,human,A_wins,HUM-vs-LLM,LLM_02,claude,A_wins,HUM-vs-LLM,both,claude,True,False,False,False
E01,LLM_02,HUM_20,Significance,LLM_02,human,A_wins,HUM-vs-LLM,HUM_20,claude,B_wins,HUM-vs-LLM,both,claude,False,False,False,False
E01,LLM_02,HUM_20,Testability,LLM_02,human,A_wins,HUM-vs-LLM,LLM_02,claude,A_wins,HUM-vs-LLM,both,claude,True,False,False,False
E01,LLM_04,HUM_02,Novelty,HUM_02,human,B_wins,HUM-vs-LLM,LLM_04,claude,A_wins,HUM-vs-LLM,both,claude,False,False,False,False
E01,LLM_04,HUM_02,Significance,Tie,human,Tie,HUM-vs-LLM,LLM_04,claude,A_wins,HUM-vs-LLM,both,claude,False,False,True,False
E01,LLM_04,HUM_02,Testability,Tie,human,Tie,HUM-vs-LLM,LLM_04,claude,A_wins,HUM-vs-LLM,both,claude,False,False,True,False
E01,LLM_05,HUM_22,Novelty,HUM_22,human,B_wins,HUM-vs-LLM,LLM_05,claude,A_wins,HUM-vs-LLM,both,claude,False,False,False,False
E01,LLM_05,HUM_22,Significance,LLM_05,human,A_wins,HUM-vs-LLM,LLM_05,claude,A_wins,HUM-vs-LLM,both,claude,True,False,False,False
E01,LLM_05,HUM_22,Testability,Tie,human,Tie,HUM-vs-LLM,HUM_22,claude,B_wins,HUM-vs-LLM,both,claude,False,False,True,False
E01,LLM_07,HUM_26,Novelty,Tie,human,Tie,HUM-vs-LLM,LLM_07,claude,A_wins,HUM-vs-LLM,both,claude,False,False,True,False
E01,LLM_07,HUM_26,Significance,Tie,human,Tie,HUM-vs-LLM,LLM_07,claude,A_wins,HUM-vs-LLM,both,claude,False,False,True,False
E01,LLM_07,HUM_26,Testability,Tie,human,Tie,HUM-vs-LLM,HUM_26,claude,B_wins,HUM-vs-LLM,both,claude,False,False,True,False
E01,LLM_08,HUM_44,Novelty,LLM_08,human,A_wins,HUM-vs-LLM,LLM_08,claude,A_wins,HUM-vs-LLM,both,claude,True,False,False,False
E01,LLM_08,HUM_44,Significance,Tie,human,Tie,HUM-vs-LLM,HUM_44,claude,B_wins,HUM-vs-LLM,both,claude,False,False,True,False
E01,LLM_08,HUM_44,Testability,Tie,human,Tie,HUM-vs-LLM,HUM_44,claude,B_wins,HUM-vs-LLM,both,claude,False,False,True,False
E01,LLM_11,HUM_37,Novelty,LLM_11,human,A_wins,HUM-vs-LLM,LLM_11,claude,A_wins,HUM-vs-LLM,both,claude,True,False,False,False
E01,LLM_11,HUM_37,Significance,LLM_11,human,A_wins,HUM-vs-LLM,LLM_11,claude,A_wins,HUM-vs-LLM,both,claude,True,False,False,False
E01,LLM_11,HUM_37,Testability,Tie,human,Tie,HUM-vs-LLM,HUM_37,claude,B_wins,HUM-vs-LLM,both,claude,False,False,True,False
E01,LLM_12,HUM_33,Novelty,LLM_12,human,A_wins,HUM-vs-LLM,LLM_12,claude,A_wins,HUM-vs-LLM,both,claude,True,False,False,False
E01,LLM_12,HUM_33,Significance,Tie,human,Tie,HUM-vs-LLM,LLM_12,claude,A_wins,HUM-vs-LLM,both,claude,False,False,True,False
E01,LLM_12,HUM_33,Testability,Tie,human,Tie,HUM-vs-LLM,LLM_12,claude,A_wins,HUM-vs-LLM,both,claude,False,False,True,False
E01,LLM_14,LLM_37,Novelty,LLM_37,human,B_wins,LLM-vs-LLM,LLM_37,claude,B_wins,LLM-vs-LLM,both,claude,True,False,False,False
E01,LLM_14,LLM_37,Significance,Tie,human,Tie,LLM-vs-LLM,LLM_37,claude,B_wins,LLM-vs-LLM,both,claude,False,False,True,False
E01,LLM_14,LLM_37,Testability,Tie,human,Tie,LLM-vs-LLM,LLM_37,claude,B_wins,LLM-vs-LLM,both,claude,False,False,True,False
E01,LLM_15,HUM_29,Novelty,LLM_15,human,A_wins,HUM-vs-LLM,LLM_15,claude,A_wins,HUM-vs-LLM,both,claude,True,False,False,False
E01,LLM_15,HUM_29,Significance,HUM_29,human,B_wins,HUM-vs-LLM,LLM_15,claude,A_wins,HUM-vs-LLM,both,claude,False,False,False,False
E01,LLM_15,HUM_29,Testability,LLM_15,human,A_wins,HUM-vs-LLM,HUM_29,claude,B_wins,HUM-vs-LLM,both,claude,False,False,False,False
E01,LLM_17,HUM_12,Novelty,LLM_17,human,A_wins,HUM-vs-LLM,LLM_17,claude,A_wins,HUM-vs-LLM,both,claude,True,False,False,False
E01,LLM_17,HUM_12,Significance,LLM_17,human,A_wins,HUM-vs-LLM,LLM_17,claude,A_wins,HUM-vs-LLM,both,claude,True,False,False,False
E01,LLM_17,HUM_12,Testability,LLM_17,human,A_wins,HUM-vs-LLM,HUM_12,claude,B_wins,HUM-vs-LLM,both,claude,False,False,False,False
E01,LLM_18,HUM_45,Novelty,LLM_18,human,A_wins,HUM-vs-LLM,LLM_18,claude,A_wins,HUM-vs-LLM,both,claude,True,False,False,False
E01,LLM_18,HUM_45,Significance,HUM_45,human,B_wins,HUM-vs-LLM,LLM_18,claude,A_wins,HUM-vs-LLM,both,claude,False,False,False,False
E01,LLM_18,HUM_45,Testability,Tie,human,Tie,HUM-vs-LLM,HUM_45,claude,B_wins,HUM-vs-LLM,both,claude,False,False,True,False
E01,LLM_19,HUM_19,Novelty,Tie,human,Tie,HUM-vs-LLM,LLM_19,claude,A_wins,HUM-vs-LLM,both,claude,False,False,True,False
E01,LLM_19,HUM_19,Significance,LLM_19,human,A_wins,HUM-vs-LLM,LLM_19,claude,A_wins,HUM-vs-LLM,both,claude,True,False,False,False
E01,LLM_19,HUM_19,Testability,LLM_19,human,A_wins,HUM-vs-LLM,HUM_19,claude,B_wins,HUM-vs-LLM,both,claude,False,False,False,False
E01,LLM_23,HUM_17,Novelty,HUM_17,human,B_wins,HUM-vs-LLM,LLM_23,claude,A_wins,HUM-vs-LLM,both,claude,False,False,False,False
E01,LLM_23,HUM_17,Significance,HUM_17,human,B_wins,HUM-vs-LLM,LLM_23,claude,A_wins,HUM-vs-LLM,both,claude,False,False,False,False
E01,LLM_23,HUM_17,Testability,LLM_23,human,A_wins,HUM-vs-LLM,HUM_17,claude,B_wins,HUM-vs-LLM,both,claude,False,False,False,False
E01,LLM_26,LLM_18,Novelty,LLM_26,human,A_wins,LLM-vs-LLM,LLM_26,claude,A_wins,LLM-vs-LLM,both,claude,True,False,False,False
E01,LLM_26,LLM_18,Significance,Tie,human,Tie,LLM-vs-LLM,LLM_26,claude,A_wins,LLM-vs-LLM,both,claude,False,False,True,False
E01,LLM_26,LLM_18,Testability,LLM_18,human,B_wins,LLM-vs-LLM,LLM_26,claude,A_wins,LLM-vs-LLM,both,claude,False,False,False,False
E01,LLM_29,HUM_23,Novelty,HUM_23,human,B_wins,HUM-vs-LLM,LLM_29,claude,A_wins,HUM-vs-LLM,both,claude,False,False,False,False
E01,LLM_29,HUM_23,Significance,HUM_23,human,B_wins,HUM-vs-LLM,HUM_23,claude,B_wins,HUM-vs-LLM,both,claude,True,False,False,False
E01,LLM_29,HUM_23,Testability,LLM_29,human,A_wins,HUM-vs-LLM,HUM_23,claude,B_wins,HUM-vs-LLM,both,claude,False,False,False,False
E01,LLM_30,HUM_13,Novelty,LLM_30,human,A_wins,HUM-vs-LLM,LLM_30,claude,A_wins,HUM-vs-LLM,both,claude,True,False,False,False
E01,LLM_30,HUM_13,Significance,Tie,human,Tie,HUM-vs-LLM,HUM_13,claude,B_wins,HUM-vs-LLM,both,claude,False,False,True,False
E01,LLM_30,HUM_13,Testability,LLM_30,human,A_wins,HUM-vs-LLM,HUM_13,claude,B_wins,HUM-vs-LLM,both,claude,False,False,False,False
E01,LLM_37,HUM_39,Novelty,Tie,human,Tie,HUM-vs-LLM,LLM_37,claude,A_wins,HUM-vs-LLM,both,claude,False,False,True,False
E01,LLM_37,HUM_39,Significance,Tie,human,Tie,HUM-vs-LLM,LLM_37,claude,A_wins,HUM-vs-LLM,both,claude,False,False,True,False
E01,LLM_37,HUM_39,Testability,Tie,human,Tie,HUM-vs-LLM,HUM_39,claude,B_wins,HUM-vs-LLM,both,claude,False,False,True,False
E01,LLM_38,LLM_44,Novelty,LLM_38,human,A_wins,LLM-vs-LLM,LLM_38,claude,A_wins,LLM-vs-LLM,both,claude,True,False,False,False
E01,LLM_38,LLM_44,Significance,LLM_44,human,B_wins,LLM-vs-LLM,LLM_44,claude,B_wins,LLM-vs-LLM,both,claude,True,False,False,False
E01,LLM_38,LLM_44,Testability,LLM_38,human,A_wins,LLM-vs-LLM,LLM_44,claude,B_wins,LLM-vs-LLM,both,claude,False,False,False,False
E01,LLM_40,HUM_36,Novelty,LLM_40,human,A_wins,HUM-vs-LLM,LLM_40,claude,A_wins,HUM-vs-LLM,both,claude,True,False,False,False
E01,LLM_40,HUM_36,Significance,Tie,human,Tie,HUM-vs-LLM,LLM_40,claude,A_wins,HUM-vs-LLM,both,claude,False,False,True,False
E01,LLM_40,HUM_36,Testability,Tie,human,Tie,HUM-vs-LLM,HUM_36,claude,B_wins,HUM-vs-LLM,both,claude,False,False,True,False
E01,LLM_41,HUM_15,Novelty,Tie,human,Tie,HUM-vs-LLM,LLM_41,claude,A_wins,HUM-vs-LLM,both,claude,False,False,True,False
E01,LLM_41,HUM_15,Significance,LLM_41,human,A_wins,HUM-vs-LLM,HUM_15,claude,B_wins,HUM-vs-LLM,both,claude,False,False,False,False
E01,LLM_41,HUM_15,Testability,LLM_41,human,A_wins,HUM-vs-LLM,HUM_15,claude,B_wins,HUM-vs-LLM,both,claude,False,False,False,False
E01,LLM_42,LLM_23,Novelty,LLM_42,human,A_wins,LLM-vs-LLM,LLM_42,claude,A_wins,LLM-vs-LLM,both,claude,True,False,False,False
E01,LLM_42,LLM_23,Significance,LLM_42,human,A_wins,LLM-vs-LLM,LLM_23,claude,B_wins,LLM-vs-LLM,both,claude,False,False,False,False
E01,LLM_42,LLM_23,Testability,Tie,human,Tie,LLM-vs-LLM,LLM_42,claude,A_wins,LLM-vs-LLM,both,claude,False,False,True,False
E01,LLM_44,HUM_04,Novelty,LLM_44,human,A_wins,HUM-vs-LLM,LLM_44,claude,A_wins,HUM-vs-LLM,both,claude,True,False,False,False
E01,LLM_44,HUM_04,Significance,Tie,human,Tie,HUM-vs-LLM,LLM_44,claude,A_wins,HUM-vs-LLM,both,claude,False,False,True,False
E01,LLM_44,HUM_04,Testability,Tie,human,Tie,HUM-vs-LLM,LLM_44,claude,A_wins,HUM-vs-LLM,both,claude,False,False,True,False
E02,HUM_01,LLM_17,Novelty,Tie,human,Tie,HUM-vs-LLM,LLM_17,claude,B_wins,HUM-vs-LLM,both,claude,False,False,True,False
E02,HUM_01,LLM_17,Significance,LLM_17,human,B_wins,HUM-vs-LLM,HUM_01,claude,A_wins,HUM-vs-LLM,both,claude,False,False,False,False
E02,HUM_01,LLM_17,Testability,LLM_17,human,B_wins,HUM-vs-LLM,HUM_01,claude,A_wins,HUM-vs-LLM,both,claude,False,False,False,False
E02,HUM_03,HUM_15,Novelty,Tie,human,Tie,HUM-vs-HUM,HUM_15,claude,B_wins,HUM-vs-HUM,both,claude,False,False,True,False
E02,HUM_03,HUM_15,Significance,HUM_03,human,A_wins,HUM-vs-HUM,HUM_15,claude,B_wins,HUM-vs-HUM,both,claude,False,False,False,False
E02,HUM_03,HUM_15,Testability,Tie,human,Tie,HUM-vs-HUM,HUM_03,claude,A_wins,HUM-vs-HUM,both,claude,False,False,True,False
E02,HUM_04,LLM_37,Novelty,LLM_37,human,B_wins,HUM-vs-LLM,LLM_37,claude,B_wins,HUM-vs-LLM,both,claude,True,False,False,False
E02,HUM_04,LLM_37,Significance,HUM_04,human,A_wins,HUM-vs-LLM,LLM_37,claude,B_wins,HUM-vs-LLM,both,claude,False,False,False,False
E02,HUM_04,LLM_37,Testability,Tie,human,Tie,HUM-vs-LLM,LLM_37,claude,B_wins,HUM-vs-LLM,both,claude,False,False,True,False
E02,HUM_09,LLM_27,Novelty,HUM_09,human,A_wins,HUM-vs-LLM,LLM_27,claude,B_wins,HUM-vs-LLM,both,claude,False,False,False,False
E02,HUM_09,LLM_27,Significance,LLM_27,human,B_wins,HUM-vs-LLM,LLM_27,claude,B_wins,HUM-vs-LLM,both,claude,True,False,False,False
E02,HUM_09,LLM_27,Testability,LLM_27,human,B_wins,HUM-vs-LLM,HUM_09,claude,A_wins,HUM-vs-LLM,both,claude,False,False,False,False
E02,HUM_10,LLM_25,Novelty,LLM_25,human,B_wins,HUM-vs-LLM,LLM_25,claude,B_wins,HUM-vs-LLM,both,claude,True,False,False,False
E02,HUM_10,LLM_25,Significance,LLM_25,human,B_wins,HUM-vs-LLM,LLM_25,claude,B_wins,HUM-vs-LLM,both,claude,True,False,False,False
E02,HUM_10,LLM_25,Testability,Tie,human,Tie,HUM-vs-LLM,HUM_10,claude,A_wins,HUM-vs-LLM,both,claude,False,False,True,False
E02,HUM_14,LLM_42,Novelty,LLM_42,human,B_wins,HUM-vs-LLM,LLM_42,claude,B_wins,HUM-vs-LLM,both,claude,True,False,False,False
E02,HUM_14,LLM_42,Significance,HUM_14,human,A_wins,HUM-vs-LLM,LLM_42,claude,B_wins,HUM-vs-LLM,both,claude,False,False,False,False
E02,HUM_14,LLM_42,Testability,LLM_42,human,B_wins,HUM-vs-LLM,LLM_42,claude,B_wins,HUM-vs-LLM,both,claude,True,False,False,False
E02,HUM_15,LLM_35,Novelty,HUM_15,human,A_wins,HUM-vs-LLM,LLM_35,claude,B_wins,HUM-vs-LLM,both,claude,False,False,False,False
E02,HUM_15,LLM_35,Significance,HUM_15,human,A_wins,HUM-vs-LLM,HUM_15,claude,A_wins,HUM-vs-LLM,both,claude,True,False,False,False
E02,HUM_15,LLM_35,Testability,Tie,human,Tie,HUM-vs-LLM,HUM_15,claude,A_wins,HUM-vs-LLM,both,claude,False,False,True,False
E02,HUM_16,LLM_44,Novelty,LLM_44,human,B_wins,HUM-vs-LLM,LLM_44,claude,B_wins,HUM-vs-LLM,both,claude,True,False,False,False
E02,HUM_16,LLM_44,Significance,HUM_16,human,A_wins,HUM-vs-LLM,LLM_44,claude,B_wins,HUM-vs-LLM,both,claude,False,False,False,False
E02,HUM_16,LLM_44,Testability,LLM_44,human,B_wins,HUM-vs-LLM,LLM_44,claude,B_wins,HUM-vs-LLM,both,claude,True,False,False,False
E02,HUM_19,LLM_45,Novelty,HUM_19,human,A_wins,HUM-vs-LLM,LLM_45,claude,B_wins,HUM-vs-LLM,both,claude,False,False,False,False
E02,HUM_19,LLM_45,Significance,LLM_45,human,B_wins,HUM-vs-LLM,LLM_45,claude,B_wins,HUM-vs-LLM,both,claude,True,False,False,False
E02,HUM_19,LLM_45,Testability,LLM_45,human,B_wins,HUM-vs-LLM,LLM_45,claude,B_wins,HUM-vs-LLM,both,claude,True,False,False,False
E02,HUM_21,LLM_19,Novelty,HUM_21,human,A_wins,HUM-vs-LLM,LLM_19,claude,B_wins,HUM-vs-LLM,both,claude,False,False,False,False
E02,HUM_21,LLM_19,Significance,HUM_21,human,A_wins,HUM-vs-LLM,LLM_19,claude,B_wins,HUM-vs-LLM,both,claude,False,False,False,False
E02,HUM_21,LLM_19,Testability,HUM_21,human,A_wins,HUM-vs-LLM,HUM_21,claude,A_wins,HUM-vs-LLM,both,claude,True,False,False,False
E02,HUM_22,LLM_32,Novelty,LLM_32,human,B_wins,HUM-vs-LLM,LLM_32,claude,B_wins,HUM-vs-LLM,both,claude,True,False,False,False
E02,HUM_22,LLM_32,Significance,LLM_32,human,B_wins,HUM-vs-LLM,LLM_32,claude,B_wins,HUM-vs-LLM,both,claude,True,False,False,False
E02,HUM_22,LLM_32,Testability,HUM_22,human,A_wins,HUM-vs-LLM,LLM_32,claude,B_wins,HUM-vs-LLM,both,claude,False,False,False,False
E02,HUM_24,LLM_26,Novelty,LLM_26,human,B_wins,HUM-vs-LLM,LLM_26,claude,B_wins,HUM-vs-LLM,both,claude,True,False,False,False
E02,HUM_24,LLM_26,Significance,LLM_26,human,B_wins,HUM-vs-LLM,LLM_26,claude,B_wins,HUM-vs-LLM,both,claude,True,False,False,False
E02,HUM_24,LLM_26,Testability,LLM_26,human,B_wins,HUM-vs-LLM,HUM_24,claude,A_wins,HUM-vs-LLM,both,claude,False,False,False,False
